Line Item,2025,2024
Profit before tax,19300,15300
Depreciation and amortization,6200,5900
Change in working capital,-2700,-1800
Income taxes paid,-3900,-3100
Net cash from operating activities,18900,16300
Purchase of property plant and equipment,-16400,-12100
Net cash used in investing activities,-16400,-12100
Proceeds from borrowings,9000,6500
Repayment of borrowings,-6000,-5200
Dividends paid,-5200,-4300
Net cash used in financing activities,-2200,-3000
Net increase in cash and cash equivalents,300,1200
Cash and cash equivalents at beginning of period,22100,20900
Cash and cash equivalents at end of period,22400,22100
