date,league,season,home_team,away_team,home_goals,away_goals,venue
2022-08-14,Premier League,2022/2023,Arsenal,Tottenham,3,1,Emirates Stadium
2022-09-03,Premier League,2022/2023,Liverpool,Newcastle,2,1,Anfield
2022-10-16,Premier League,2022/2023,Man City,Chelsea,1,0,Etihad Stadium
2022-11-06,Premier League,2022/2023,Tottenham,Liverpool,1,2,Tottenham Stadium
2022-12-26,Premier League,2022/2023,Newcastle,Arsenal,0,0,St James Park
2023-01-15,Premier League,2022/2023,Chelsea,Man City,0,1,Stamford Bridge
2023-02-11,Premier League,2022/2023,Arsenal,Liverpool,2,2,Emirates Stadium
2023-03-04,Premier League,2022/2023,Liverpool,Man City,1,0,Anfield
2023-04-08,Premier League,2022/2023,Newcastle,Tottenham,2,1,St James Park
2023-05-20,Premier League,2022/2023,Man City,Chelsea,3,0,Etihad Stadium
2023-05-28,Premier League,2022/2023,Tottenham,Arsenal,1,3,Tottenham Stadium
2023-08-12,Premier League,2023/2024,Chelsea,Liverpool,1,1,Stamford Bridge
2023-09-24,Premier League,2023/2024,Arsenal,Tottenham,2,2,Emirates Stadium
2023-10-21,Premier League,2023/2024,Newcastle,Chelsea,4,1,St James Park
2023-11-25,Premier League,2023/2024,Man City,Liverpool,1,1,Etihad Stadium
2023-12-23,Premier League,2023/2024,Liverpool,Arsenal,1,1,Anfield
2024-01-20,Premier League,2023/2024,Tottenham,Man City,0,2,Tottenham Stadium
2024-02-10,Premier League,2023/2024,Arsenal,Newcastle,4,1,Emirates Stadium
2024-03-10,Premier League,2023/2024,Liverpool,Man City,1,1,Anfield
2024-04-14,Premier League,2023/2024,Man City,Tottenham,2,0,Etihad Stadium
2024-05-04,Premier League,2023/2024,Chelsea,Newcastle,2,2,Stamford Bridge
2024-05-19,Premier League,2023/2024,Arsenal,Chelsea,3,1,Emirates Stadium
2022-08-21,La Liga,2022/2023,Barcelona,Sevilla,3,0,Camp Nou
2022-09-18,La Liga,2022/2023,Real Madrid,Valencia,2,1,Santiago Bernabeu
2022-10-09,La Liga,2022/2023,Villarreal,Barcelona,0,2,Estadio de la Ceramica
2022-11-13,La Liga,2022/2023,Sevilla,Real Madrid,1,3,Ramon Sanchez
2022-12-30,La Liga,2022/2023,Betis,Valencia,1,1,Benito Villamarin
2023-01-22,La Liga,2022/2023,Barcelona,Real Madrid,2,1,Camp Nou
2023-02-19,La Liga,2022/2023,Valencia,Villarreal,0,0,Mestalla
2023-03-12,La Liga,2022/2023,Real Madrid,Betis,2,0,Santiago Bernabeu
2023-04-02,La Liga,2022/2023,Sevilla,Barcelona,1,2,Ramon Sanchez
2023-05-14,La Liga,2022/2023,Villarreal,Real Madrid,1,2,Estadio de la Ceramica
2023-05-28,La Liga,2022/2023,Betis,Barcelona,0,1,Benito Villamarin
2023-08-20,La Liga,2023/2024,Real Madrid,Barcelona,1,0,Santiago Bernabeu
2023-09-17,La Liga,2023/2024,Barcelona,Betis,4,2,Camp Nou
2023-10-08,La Liga,2023/2024,Sevilla,Valencia,2,2,Ramon Sanchez
2023-11-12,La Liga,2023/2024,Valencia,Real Madrid,0,3,Mestalla
2023-12-21,La Liga,2023/2024,Villarreal,Sevilla,1,1,Estadio de la Ceramica
2024-01-14,La Liga,2023/2024,Barcelona,Villarreal,3,2,Camp Nou
2024-02-25,La Liga,2023/2024,Real Madrid,Sevilla,2,1,Santiago Bernabeu
2024-03-17,La Liga,2023/2024,Betis,Real Madrid,1,1,Benito Villamarin
2024-04-21,La Liga,2023/2024,Valencia,Barcelona,2,4,Mestalla
2024-05-12,La Liga,2023/2024,Sevilla,Betis,0,0,Ramon Sanchez
